Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_0_59_164,VPWR,li1,81.8800,171.3600,1.799995
FILLER_0_59_152,VPWR,li1,78.2000,171.3600,1.799995
FILLER_0_59_140,VPWR,li1,72.6800,171.3600,1.799995
FILLER_0_59_128,VPWR,li1,67.1600,171.3600,1.799995
FILLER_0_59_121,VPWR,li1,61.6400,171.3600,1.799995
FILLER_0_59_113,VPWR,li1,59.3400,171.3600,1.799995
FILLER_0_59_111,VPWR,li1,56.8100,171.3600,1.799995
FILLER_0_59_105,VPWR,li1,55.2000,171.3600,1.799995
FILLER_0_59_93,VPWR,li1,51.0600,171.3600,1.799995
FILLER_0_59_81,VPWR,li1,45.5400,171.3600,1.799996
FILLER_0_59_69,VPWR,li1,40.0200,171.3600,1.799996
FILLER_0_59_57,VPWR,li1,34.5000,171.3600,1.799997
FILLER_0_59_54,VPWR,li1,30.8200,171.3600,1.799998
FILLER_0_59_42,VPWR,li1,27.6000,171.3600,1.799998
FILLER_0_59_30,VPWR,li1,22.0800,171.3600,1.799999
FILLER_0_59_18,VPWR,li1,16.5600,171.3600,1.799998
FILLER_0_59_6,VPWR,li1,11.0400,171.3600,1.799998
FILLER_0_58_297,VPWR,li1,142.6000,171.3600,1.799995
FILLER_0_58_289,VPWR,li1,140.3000,171.3600,1.799995
FILLER_0_58_277,VPWR,li1,135.7000,171.3600,1.799995
FILLER_0_58_265,VPWR,li1,130.1800,171.3600,1.799995
FILLER_0_58_253,VPWR,li1,124.6600,171.3600,1.799995
FILLER_0_58_251,VPWR,li1,121.2100,171.3600,1.799995
FILLER_0_58_245,VPWR,li1,119.6000,171.3600,1.799995
FILLER_0_58_233,VPWR,li1,115.4600,171.3600,1.799995
FILLER_0_58_221,VPWR,li1,109.9400,171.3600,1.799995
FILLER_0_58_209,VPWR,li1,104.4200,171.3600,1.799995
FILLER_0_58_197,VPWR,li1,98.9000,171.3600,1.799995
FILLER_0_58_195,VPWR,li1,95.4500,171.3600,1.799995
FILLER_0_58_189,VPWR,li1,93.8400,171.3600,1.799995
FILLER_0_58_177,VPWR,li1,89.7000,171.3600,1.799995
FILLER_0_58_165,VPWR,li1,84.1800,171.3600,1.799995
FILLER_0_58_153,VPWR,li1,78.6600,171.3600,1.799995
FILLER_0_58_141,VPWR,li1,73.1400,171.3600,1.799995
FILLER_0_58_128,VPWR,li1,67.1600,171.3600,1.799995
FILLER_0_58_116,VPWR,li1,61.6400,171.3600,1.799995
FILLER_0_58_104,VPWR,li1,56.1200,171.3600,1.799995
FILLER_0_58_97,VPWR,li1,51.0600,171.3600,1.799995
FILLER_0_58_85,VPWR,li1,47.3800,171.3600,1.799996
FILLER_0_58_83,VPWR,li1,43.9300,171.3600,1.799996
FILLER_0_58_77,VPWR,li1,42.3200,171.3600,1.799996
FILLER_0_58_65,VPWR,li1,38.1800,171.3600,1.799997
FILLER_0_58_53,VPWR,li1,32.6600,171.3600,1.799997
FILLER_0_58_41,VPWR,li1,27.1400,171.3600,1.799998
FILLER_0_58_29,VPWR,li1,21.6200,171.3600,1.799999
FILLER_0_58_27,VPWR,li1,18.1700,171.3600,1.799998
FILLER_0_58_15,VPWR,li1,15.1800,171.3600,1.799998
FILLER_0_58_3,VPWR,li1,9.6600,171.3600,1.799998
FILLER_0_57_293,VPWR,li1,141.6800,165.9200,1.800000
FILLER_0_57_281,VPWR,li1,137.5400,165.9200,1.800000
FILLER_0_57_279,VPWR,li1,134.0900,165.9200,1.800000
FILLER_0_57_273,VPWR,li1,132.4800,165.9200,1.800000
FILLER_0_57_261,VPWR,li1,128.3400,165.9200,1.800000
FILLER_0_57_249,VPWR,li1,122.8200,165.9200,1.800000
FILLER_0_57_237,VPWR,li1,117.3000,165.9200,1.800000
FILLER_0_57_225,VPWR,li1,111.7800,165.9200,1.800000
FILLER_0_57_223,VPWR,li1,108.3300,165.9200,1.800000
FILLER_0_57_217,VPWR,li1,106.7200,165.9200,1.800000
